mountain,direction,state,region,difficulty,ease,vert,trail_count,lift_count,blacklist
palisades_tahoe,n,CA,west,50.0,6.6,854.0,293,42,
park_city,w,UT,west,43.3,6.0,942.0,400,38,
pat's_peak,n,NH,northeast,25.3,9.2,229.0,37,10,
peek'n_peak,w,NY,northeast,18.2,11.3,104.0,25,10,
perfect_north_slopes,n,IN,midwest,22.3,10.3,111.0,21,12,
pico,n,VT,northeast,27.5,8.5,588.0,68,7,
plattekill,w,NY,northeast,30.3,15.4,314.0,34,2,
powder_mountain,n,CO,west,34.9,12.8,615.0,90,9,
purgatory,n,CO,west,36.4,9.4,605.0,83,12,
ragged_mountain,n,NH,northeast,25.2,14.0,336.0,44,4,
roundtop,n,PA,northeast,24.2,9.8,177.0,25,9,
saddleback,n,ME,northeast,29.2,6.8,563.0,79,4,
schweitzer,s,ID,west,41.5,8.8,732.0,109,10,
seven_springs,n,PA,northeast,24.5,9.0,225.0,54,15,
shawnee_mountain,n,PA,northeast,21.1,11.0,204.0,27,9,
shawnee_peak,w,ME,northeast,25.0,12.9,378.0,43,5,
sierra_at_tahoe,n,CA,west,31.0,9.3,667.0,51,13,
silverton,e,CO,west,51.2,25.0,986.0,60,1,
ski_bradford,w,MA,northeast,18.0,12.5,66.0,15,9,
ski_butternut,n,MA,northeast,18.6,12.1,285.0,22,10,
ski_santa_fe,n,NM,west,31.6,7.4,534.0,80,8,
ski_sundown,e,CT,northeast,21.4,12.6,174.0,14,5,
ski_ward,n,MA,northeast,11.4,9.8,49.0,9,6,
smuggler's_notch,n,VT,northeast,37.0,10.8,772.0,116,9,
snowbasin,w,UT,west,45.4,12.0,919.0,105,9,
snowbird,n,UT,west,50.7,9.9,1013.0,188,14,
snowmass,n,CO,west,37.2,12.0,1347.0,108,17,
snowshoe,e,WV,southeast,23.8,10.3,460.0,40,7,
solitude,w,UT,west,47.9,11.6,734.0,88,9,brighton
steamboat_springs,e,CO,west,36.5,8.4,1120.0,168,23,
stowe,w,VT,northeast,34.8,8.0,727.0,135,13,
stratton,n,VT,northeast,30.1,5.1,579.0,162,19,
sugar_bowl,n,CA,west,35.2,8.8,449.0,87,13,
sugarbush,w,VT,northeast,32.2,8.6,783.0,143,18,
sugarloaf,n,ME,northeast,33.7,6.6,859.0,144,13,
suicide_six,n,VT,northeast,27.7,15.6,184.0,24,3,
sun_valley,w,ID,west,35.7,13.1,1021.0,89,12,
sunday_river,n,ME,northeast,32.9,6.8,707.0,131,18,
tamarack,w,ID,west,31.8,13.1,835.0,46,7,
taos,n,NM,west,38.8,13.7,922.0,70,14,
telluride,n,CO,west,43.1,7.9,1237.0,149,18,
thunder_ridge,e,NY,northeast,25.6,13.0,121.0,18,7,
timberline_lodge,s,OR,west,28.6,8.3,1372.0,56,9,
timberline_mountain,n,WV,southeast,21.4,7.6,294.0,29,3,
titcomb,n,ME,northeast,20.7,13.0,92.0,17,3,
tussey,n,PA,northeast,23.5,14.4,149.0,17,4,
vail,n,CO,west,39.9,8.3,1052.0,230,32,
wachusett,n,MA,northeast,22.0,10.0,291.0,30,6,
waterville_valley,w,NH,northeast,30.9,11.4,609.0,79,11,
west_mountain,w,NY,northeast,23.9,13.8,308.0,29,6,
whaleback,n,NH,northeast,26.1,11.5,197.0,36,4,
whiteface,w,NY,northeast,38.3,8.9,1028.0,95,11,
whitefish,s,MT,west,43.2,7.7,699.0,128,15,
whitetail,w,PA,northeast,23.0,9.7,282.0,22,8,
wildcat,n,NH,northeast,29.7,12.9,620.0,57,4,
windham,n,NY,northeast,28.7,11.6,421.0,45,10,
winter_park,n,CO,west,36.9,7.7,886.0,168,24,
wintergreen_resort,e,VA,southeast,22.9,13.0,302.0,17,9,
winterplace,n,WV,southeast,22.5,9.9,158.0,22,10,
wisp,n,MD,southeast,23.6,10.0,177.0,32,10,
wolf_creek,n,CO,west,24.8,10.2,452.0,46,10,
wolf_ridge,n,NC,southeast,21.2,12.6,189.0,26,5,
yawgoo_valley,w,RI,northeast,14.8,10.0,56.0,12,3,
